"Notes"	"Year"	"Year Code"	"Month"	"Month Code"	"State"	"State Code"	"Age of Mother"	"Age of Mother Code"	Births
	"2007"	"2007"	"January"	"1"	"District of Columbia"	"11"	"35-39 years"	"35-39"	125
	"2007"	"2007"	"January"	"1"	"District of Columbia"	"11"	"40-44 years"	"40-44"	18
	"2007"	"2007"	"January"	"1"	"Florida"	"12"	"Under 15 years"	"15"	35
	"2007"	"2007"	"January"	"1"	"Florida"	"12"	"15-19 years"	"15-19"	2270
	"2007"	"2007"	"January"	"1"	"Florida"	"12"	"20-24 years"	"20-24"	5301
	"2007"	"2007"	"January"	"1"	"Florida"	"12"	"25-29 years"	"25-29"	5527
	"2007"	"2007"	"January"	"1"	"Florida"	"12"	"30-34 years"	"30-34"	4311
	"2007"	"2007"	"January"	"1"	"Florida"	"12"	"35-39 years"	"35-39"	2359
	"2007"	"2007"	"January"	"1"	"Florida"	"12"	"40-44 years"	"40-44"	567
	"2007"	"2007"	"January"	"1"	"Florida"	"12"	"45-49 years"	"45-49"	32
	"2007"	"2007"	"January"	"1"	"Georgia"	"13"	"Under 15 years"	"15"	28
	"2007"	"2007"	"January"	"1"	"Georgia"	"13"	"15-19 years"	"15-19"	1592
	"2007"	"2007"	"January"	"1"	"Georgia"	"13"	"20-24 years"	"20-24"	3623
	"2007"	"2007"	"January"	"1"	"Georgia"	"13"	"25-29 years"	"25-29"	3304
	"2007"	"2007"	"January"	"1"	"Georgia"	"13"	"30-34 years"	"30-34"	2447
	"2007"	"2007"	"January"	"1"	"Georgia"	"13"	"35-39 years"	"35-39"	1327
	"2007"	"2007"	"January"	"1"	"Georgia"	"13"	"40-44 years"	"40-44"	263
	"2007"	"2007"	"January"	"1"	"Georgia"	"13"	"45-49 years"	"45-49"	27
	"2007"	"2007"	"January"	"1"	"Hawaii"	"15"	"15-19 years"	"15-19"	133
	"2007"	"2007"	"January"	"1"	"Hawaii"	"15"	"20-24 years"	"20-24"	392
	"2007"	"2007"	"January"	"1"	"Hawaii"	"15"	"25-29 years"	"25-29"	402
	"2007"	"2007"	"January"	"1"	"Hawaii"	"15"	"30-34 years"	"30-34"	324
	"2007"	"2007"	"January"	"1"	"Hawaii"	"15"	"35-39 years"	"35-39"	231
	"2007"	"2007"	"January"	"1"	"Hawaii"	"15"	"40-44 years"	"40-44"	48
	"2007"	"2007"	"January"	"1"	"Idaho"	"16"	"15-19 years"	"15-19"	179
	"2007"	"2007"	"January"	"1"	"Idaho"	"16"	"20-24 years"	"20-24"	628
	"2007"	"2007"	"January"	"1"	"Idaho"	"16"	"25-29 years"	"25-29"	653
	"2007"	"2007"	"January"	"1"	"Idaho"	"16"	"30-34 years"	"30-34"	367
	"2007"	"2007"	"January"	"1"	"Idaho"	"16"	"35-39 years"	"35-39"	156
	"2007"	"2007"	"January"	"1"	"Idaho"	"16"	"40-44 years"	"40-44"	32
	"2007"	"2007"	"January"	"1"	"Illinois"	"17"	"Under 15 years"	"15"	19
	"2007"	"2007"	"January"	"1"	"Illinois"	"17"	"15-19 years"	"15-19"	1570
	"2007"	"2007"	"January"	"1"	"Illinois"	"17"	"20-24 years"	"20-24"	3297
	"2007"	"2007"	"January"	"1"	"Illinois"	"17"	"25-29 years"	"25-29"	4015
	"2007"	"2007"	"January"	"1"	"Illinois"	"17"	"30-34 years"	"30-34"	3426
	"2007"	"2007"	"January"	"1"	"Illinois"	"17"	"35-39 years"	"35-39"	1814
	"2007"	"2007"	"January"	"1"	"Illinois"	"17"	"40-44 years"	"40-44"	387
	"2007"	"2007"	"January"	"1"	"Illinois"	"17"	"45-49 years"	"45-49"	21
	"2007"	"2007"	"January"	"1"	"Indiana"	"18"	"Under 15 years"	"15"	12
	"2007"	"2007"	"January"	"1"	"Indiana"	"18"	"15-19 years"	"15-19"	841
	"2007"	"2007"	"January"	"1"	"Indiana"	"18"	"20-24 years"	"20-24"	2133
	"2007"	"2007"	"January"	"1"	"Indiana"	"18"	"25-29 years"	"25-29"	2197
	"2007"	"2007"	"January"	"1"	"Indiana"	"18"	"30-34 years"	"30-34"	1434
	"2007"	"2007"	"January"	"1"	"Indiana"	"18"	"35-39 years"	"35-39"	602
	"2007"	"2007"	"January"	"1"	"Indiana"	"18"	"40-44 years"	"40-44"	110
	"2007"	"2007"	"January"	"1"	"Iowa"	"19"	"15-19 years"	"15-19"	270
	"2007"	"2007"	"January"	"1"	"Iowa"	"19"	"20-24 years"	"20-24"	845
	"2007"	"2007"	"January"	"1"	"Iowa"	"19"	"25-29 years"	"25-29"	1082
	"2007"	"2007"	"January"	"1"	"Iowa"	"19"	"30-34 years"	"30-34"	669
	"2007"	"2007"	"January"	"1"	"Iowa"	"19"	"35-39 years"	"35-39"	313
	"2007"	"2007"	"January"	"1"	"Iowa"	"19"	"40-44 years"	"40-44"	51
	"2007"	"2007"	"January"	"1"	"Kansas"	"20"	"15-19 years"	"15-19"	340
	"2007"	"2007"	"January"	"1"	"Kansas"	"20"	"20-24 years"	"20-24"	994
	"2007"	"2007"	"January"	"1"	"Kansas"	"20"	"25-29 years"	"25-29"	1039
	"2007"	"2007"	"January"	"1"	"Kansas"	"20"	"30-34 years"	"30-34"	683
	"2007"	"2007"	"January"	"1"	"Kansas"	"20"	"35-39 years"	"35-39"	327
	"2007"	"2007"	"January"	"1"	"Kansas"	"20"	"40-44 years"	"40-44"	75
	"2007"	"2007"	"January"	"1"	"Kentucky"	"21"	"15-19 years"	"15-19"	615
	"2007"	"2007"	"January"	"1"	"Kentucky"	"21"	"20-24 years"	"20-24"	1531
	"2007"	"2007"	"January"	"1"	"Kentucky"	"21"	"25-29 years"	"25-29"	1495
	"2007"	"2007"	"January"	"1"	"Kentucky"	"21"	"30-34 years"	"30-34"	870
	"2007"	"2007"	"January"	"1"	"Kentucky"	"21"	"35-39 years"	"35-39"	395
	"2007"	"2007"	"January"	"1"	"Kentucky"	"21"	"40-44 years"	"40-44"	89
	"2007"	"2007"	"January"	"1"	"Louisiana"	"22"	"Under 15 years"	"15"	19
	"2007"	"2007"	"January"	"1"	"Louisiana"	"22"	"15-19 years"	"15-19"	762
	"2007"	"2007"	"January"	"1"	"Louisiana"	"22"	"20-24 years"	"20-24"	1865
	"2007"	"2007"	"January"	"1"	"Louisiana"	"22"	"25-29 years"	"25-29"	1574
	"2007"	"2007"	"January"	"1"	"Louisiana"	"22"	"30-34 years"	"30-34"	905
	"2007"	"2007"	"January"	"1"	"Louisiana"	"22"	"35-39 years"	"35-39"	428
	"2007"	"2007"	"January"	"1"	"Louisiana"	"22"	"40-44 years"	"40-44"	76
	"2007"	"2007"	"January"	"1"	"Maine"	"23"	"15-19 years"	"15-19"	102
	"2007"	"2007"	"January"	"1"	"Maine"	"23"	"20-24 years"	"20-24"	308
	"2007"	"2007"	"January"	"1"	"Maine"	"23"	"25-29 years"	"25-29"	369
	"2007"	"2007"	"January"	"1"	"Maine"	"23"	"30-34 years"	"30-34"	257
	"2007"	"2007"	"January"	"1"	"Maine"	"23"	"35-39 years"	"35-39"	123
	"2007"	"2007"	"January"	"1"	"Maine"	"23"	"40-44 years"	"40-44"	27
	"2007"	"2007"	"January"	"1"	"Maryland"	"24"	"15-19 years"	"15-19"	588
	"2007"	"2007"	"January"	"1"	"Maryland"	"24"	"20-24 years"	"20-24"	1379
	"2007"	"2007"	"January"	"1"	"Maryland"	"24"	"25-29 years"	"25-29"	1757
	"2007"	"2007"	"January"	"1"	"Maryland"	"24"	"30-34 years"	"30-34"	1627
	"2007"	"2007"	"January"	"1"	"Maryland"	"24"	"35-39 years"	"35-39"	979
	"2007"	"2007"	"January"	"1"	"Maryland"	"24"	"40-44 years"	"40-44"	233
	"2007"	"2007"	"January"	"1"	"Maryland"	"24"	"45-49 years"	"45-49"	16
	"2007"	"2007"	"January"	"1"	"Massachusetts"	"25"	"15-19 years"	"15-19"	433
	"2007"	"2007"	"January"	"1"	"Massachusetts"	"25"	"20-24 years"	"20-24"	1011
	"2007"	"2007"	"January"	"1"	"Massachusetts"	"25"	"25-29 years"	"25-29"	1517
	"2007"	"2007"	"January"	"1"	"Massachusetts"	"25"	"30-34 years"	"30-34"	1844
	"2007"	"2007"	"January"	"1"	"Massachusetts"	"25"	"35-39 years"	"35-39"	1166
	"2007"	"2007"	"January"	"1"	"Massachusetts"	"25"	"40-44 years"	"40-44"	259
	"2007"	"2007"	"January"	"1"	"Massachusetts"	"25"	"45-49 years"	"45-49"	16
	"2007"	"2007"	"January"	"1"	"Michigan"	"26"	"Under 15 years"	"15"	19
	"2007"	"2007"	"January"	"1"	"Michigan"	"26"	"15-19 years"	"15-19"	1132
	"2007"	"2007"	"January"	"1"	"Michigan"	"26"	"20-24 years"	"20-24"	2543
	"2007"	"2007"	"January"	"1"	"Michigan"	"26"	"25-29 years"	"25-29"	2962
	"2007"	"2007"	"January"	"1"	"Michigan"	"26"	"30-34 years"	"30-34"	2308
	"2007"	"2007"	"January"	"1"	"Michigan"	"26"	"35-39 years"	"35-39"	1112
	"2007"	"2007"	"January"	"1"	"Michigan"	"26"	"40-44 years"	"40-44"	208
	"2007"	"2007"	"January"	"1"	"Michigan"	"26"	"45-49 years"	"45-49"	12
	"2007"	"2007"	"January"	"1"	"Minnesota"	"27"	"15-19 years"	"15-19"	431
	"2007"	"2007"	"January"	"1"	"Minnesota"	"27"	"20-24 years"	"20-24"	1303
	"2007"	"2007"	"January"	"1"	"Minnesota"	"27"	"25-29 years"	"25-29"	1880
	"2007"	"2007"	"January"	"1"	"Minnesota"	"27"	"30-34 years"	"30-34"	1472
	"2007"	"2007"	"January"	"1"	"Minnesota"	"27"	"35-39 years"	"35-39"	759
	"2007"	"2007"	"January"	"1"	"Minnesota"	"27"	"40-44 years"	"40-44"	151
	"2007"	"2007"	"January"	"1"	"Minnesota"	"27"	"45-49 years"	"45-49"	10
	"2007"	"2007"	"January"	"1"	"Mississippi"	"28"	"Under 15 years"	"15"	14
	"2007"	"2007"	"January"	"1"	"Mississippi"	"28"	"15-19 years"	"15-19"	707
	"2007"	"2007"	"January"	"1"	"Mississippi"	"28"	"20-24 years"	"20-24"	1295
	"2007"	"2007"	"January"	"1"	"Mississippi"	"28"	"25-29 years"	"25-29"	1096
	"2007"	"2007"	"January"	"1"	"Mississippi"	"28"	"30-34 years"	"30-34"	582
	"2007"	"2007"	"January"	"1"	"Mississippi"	"28"	"35-39 years"	"35-39"	246
	"2007"	"2007"	"January"	"1"	"Mississippi"	"28"	"40-44 years"	"40-44"	50
	"2007"	"2007"	"January"	"1"	"Missouri"	"29"	"15-19 years"	"15-19"	763
	"2007"	"2007"	"January"	"1"	"Missouri"	"29"	"20-24 years"	"20-24"	1889
	"2007"	"2007"	"January"	"1"	"Missouri"	"29"	"25-29 years"	"25-29"	1962
	"2007"	"2007"	"January"	"1"	"Missouri"	"29"	"30-34 years"	"30-34"	1216
	"2007"	"2007"	"January"	"1"	"Missouri"	"29"	"35-39 years"	"35-39"	555
	"2007"	"2007"	"January"	"1"	"Missouri"	"29"	"40-44 years"	"40-44"	140
	"2007"	"2007"	"January"	"1"	"Montana"	"30"	"15-19 years"	"15-19"	95
	"2007"	"2007"	"January"	"1"	"Montana"	"30"	"20-24 years"	"20-24"	262
	"2007"	"2007"	"January"	"1"	"Montana"	"30"	"25-29 years"	"25-29"	312
	"2007"	"2007"	"January"	"1"	"Montana"	"30"	"30-34 years"	"30-34"	199
	"2007"	"2007"	"January"	"1"	"Montana"	"30"	"35-39 years"	"35-39"	84
	"2007"	"2007"	"January"	"1"	"Montana"	"30"	"40-44 years"	"40-44"	12
	"2007"	"2007"	"January"	"1"	"Nebraska"	"31"	"15-19 years"	"15-19"	186
	"2007"	"2007"	"January"	"1"	"Nebraska"	"31"	"20-24 years"	"20-24"	576
	"2007"	"2007"	"January"	"1"	"Nebraska"	"31"	"25-29 years"	"25-29"	676
	"2007"	"2007"	"January"	"1"	"Nebraska"	"31"	"30-34 years"	"30-34"	444
	"2007"	"2007"	"January"	"1"	"Nebraska"	"31"	"35-39 years"	"35-39"	203
	"2007"	"2007"	"January"	"1"	"Nebraska"	"31"	"40-44 years"	"40-44"	36
	"2007"	"2007"	"January"	"1"	"Nevada"	"32"	"Under 15 years"	"15"	11
	"2007"	"2007"	"January"	"1"	"Nevada"	"32"	"15-19 years"	"15-19"	357
	"2007"	"2007"	"January"	"1"	"Nevada"	"32"	"20-24 years"	"20-24"	891
	"2007"	"2007"	"January"	"1"	"Nevada"	"32"	"25-29 years"	"25-29"	969
	"2007"	"2007"	"January"	"1"	"Nevada"	"32"	"30-34 years"	"30-34"	679
	"2007"	"2007"	"January"	"1"	"Nevada"	"32"	"35-39 years"	"35-39"	379
	"2007"	"2007"	"January"	"1"	"Nevada"	"32"	"40-44 years"	"40-44"	71
	"2007"	"2007"	"January"	"1"	"New Hampshire"	"33"	"15-19 years"	"15-19"	78
	"2007"	"2007"	"January"	"1"	"New Hampshire"	"33"	"20-24 years"	"20-24"	250
	"2007"	"2007"	"January"	"1"	"New Hampshire"	"33"	"25-29 years"	"25-29"	315
	"2007"	"2007"	"January"	"1"	"New Hampshire"	"33"	"30-34 years"	"30-34"	295
	"2007"	"2007"	"January"	"1"	"New Hampshire"	"33"	"35-39 years"	"35-39"	168
	"2007"	"2007"	"January"	"1"	"New Hampshire"	"33"	"40-44 years"	"40-44"	47
	"2007"	"2007"	"January"	"1"	"New Jersey"	"34"	"Under 15 years"	"15"	12
	"2007"	"2007"	"January"	"1"	"New Jersey"	"34"	"15-19 years"	"15-19"	608
	"2007"	"2007"	"January"	"1"	"New Jersey"	"34"	"20-24 years"	"20-24"	1656
	"2007"	"2007"	"January"	"1"	"New Jersey"	"34"	"25-29 years"	"25-29"	2363
	"2007"	"2007"	"January"	"1"	"New Jersey"	"34"	"30-34 years"	"30-34"	2793
	"2007"	"2007"	"January"	"1"	"New Jersey"	"34"	"35-39 years"	"35-39"	1678
	"2007"	"2007"	"January"	"1"	"New Jersey"	"34"	"40-44 years"	"40-44"	390
	"2007"	"2007"	"January"	"1"	"New Jersey"	"34"	"45-49 years"	"45-49"	26
	"2007"	"2007"	"January"	"1"	"New Mexico"	"35"	"15-19 years"	"15-19"	417
	"2007"	"2007"	"January"	"1"	"New Mexico"	"35"	"20-24 years"	"20-24"	787
	"2007"	"2007"	"January"	"1"	"New Mexico"	"35"	"25-29 years"	"25-29"	700
	"2007"	"2007"	"January"	"1"	"New Mexico"	"35"	"30-34 years"	"30-34"	399
	"2007"	"2007"	"January"	"1"	"New Mexico"	"35"	"35-39 years"	"35-39"	207
	"2007"	"2007"	"January"	"1"	"New Mexico"	"35"	"40-44 years"	"40-44"	39
	"2007"	"2007"	"January"	"1"	"New York"	"36"	"Under 15 years"	"15"	35
	"2007"	"2007"	"January"	"1"	"New York"	"36"	"15-19 years"	"15-19"	1546
	"2007"	"2007"	"January"	"1"	"New York"	"36"	"20-24 years"	"20-24"	4343
	"2007"	"2007"	"January"	"1"	"New York"	"36"	"25-29 years"	"25-29"	5499
	"2007"	"2007"	"January"	"1"	"New York"	"36"	"30-34 years"	"30-34"	5255
	"2007"	"2007"	"January"	"1"	"New York"	"36"	"35-39 years"	"35-39"	3166
	"2007"	"2007"	"January"	"1"	"New York"	"36"	"40-44 years"	"40-44"	778
	"2007"	"2007"	"January"	"1"	"New York"	"36"	"45-49 years"	"45-49"	65
	"2007"	"2007"	"January"	"1"	"North Carolina"	"37"	"Under 15 years"	"15"	20
	"2007"	"2007"	"January"	"1"	"North Carolina"	"37"	"15-19 years"	"15-19"	1295
	"2007"	"2007"	"January"	"1"	"North Carolina"	"37"	"20-24 years"	"20-24"	2923
	"2007"	"2007"	"January"	"1"	"North Carolina"	"37"	"25-29 years"	"25-29"	2991
	"2007"	"2007"	"January"	"1"	"North Carolina"	"37"	"30-34 years"	"30-34"	2328
	"2007"	"2007"	"January"	"1"	"North Carolina"	"37"	"35-39 years"	"35-39"	1130
	"2007"	"2007"	"January"	"1"	"North Carolina"	"37"	"40-44 years"	"40-44"	209
	"2007"	"2007"	"January"	"1"	"North Carolina"	"37"	"45-49 years"	"45-49"	11
	"2007"	"2007"	"January"	"1"	"North Dakota"	"38"	"15-19 years"	"15-19"	55
	"2007"	"2007"	"January"	"1"	"North Dakota"	"38"	"20-24 years"	"20-24"	204
	"2007"	"2007"	"January"	"1"	"North Dakota"	"38"	"25-29 years"	"25-29"	259
	"2007"	"2007"	"January"	"1"	"North Dakota"	"38"	"30-34 years"	"30-34"	150
	"2007"	"2007"	"January"	"1"	"North Dakota"	"38"	"35-39 years"	"35-39"	60
	"2007"	"2007"	"January"	"1"	"Ohio"	"39"	"Under 15 years"	"15"	15
	"2007"	"2007"	"January"	"1"	"Ohio"	"39"	"15-19 years"	"15-19"	1408
	"2007"	"2007"	"January"	"1"	"Ohio"	"39"	"20-24 years"	"20-24"	3402
	"2007"	"2007"	"January"	"1"	"Ohio"	"39"	"25-29 years"	"25-29"	3618
	"2007"	"2007"	"January"	"1"	"Ohio"	"39"	"30-34 years"	"30-34"	2491
	"2007"	"2007"	"January"	"1"	"Ohio"	"39"	"35-39 years"	"35-39"	1170
	"2007"	"2007"	"January"	"1"	"Ohio"	"39"	"40-44 years"	"40-44"	235
	"2007"	"2007"	"January"	"1"	"Ohio"	"39"	"45-49 years"	"45-49"	20
	"2007"	"2007"	"January"	"1"	"Oklahoma"	"40"	"15-19 years"	"15-19"	629
	"2007"	"2007"	"January"	"1"	"Oklahoma"	"40"	"20-24 years"	"20-24"	1517
	"2007"	"2007"	"January"	"1"	"Oklahoma"	"40"	"25-29 years"	"25-29"	1311
	"2007"	"2007"	"January"	"1"	"Oklahoma"	"40"	"30-34 years"	"30-34"	741
	"2007"	"2007"	"January"	"1"	"Oklahoma"	"40"	"35-39 years"	"35-39"	320
	"2007"	"2007"	"January"	"1"	"Oklahoma"	"40"	"40-44 years"	"40-44"	62
	"2007"	"2007"	"January"	"1"	"Oregon"	"41"	"15-19 years"	"15-19"	375
	"2007"	"2007"	"January"	"1"	"Oregon"	"41"	"20-24 years"	"20-24"	1006
	"2007"	"2007"	"January"	"1"	"Oregon"	"41"	"25-29 years"	"25-29"	1088
	"2007"	"2007"	"January"	"1"	"Oregon"	"41"	"30-34 years"	"30-34"	845
	"2007"	"2007"	"January"	"1"	"Oregon"	"41"	"35-39 years"	"35-39"	485
	"2007"	"2007"	"January"	"1"	"Oregon"	"41"	"40-44 years"	"40-44"	84
	"2007"	"2007"	"January"	"1"	"Pennsylvania"	"42"	"Under 15 years"	"15"	11
	"2007"	"2007"	"January"	"1"	"Pennsylvania"	"42"	"15-19 years"	"15-19"	1259
	"2007"	"2007"	"January"	"1"	"Pennsylvania"	"42"	"20-24 years"	"20-24"	2765
	"2007"	"2007"	"January"	"1"	"Pennsylvania"	"42"	"25-29 years"	"25-29"	3466
	"2007"	"2007"	"January"	"1"	"Pennsylvania"	"42"	"30-34 years"	"30-34"	2882
	"2007"	"2007"	"January"	"1"	"Pennsylvania"	"42"	"35-39 years"	"35-39"	1568
	"2007"	"2007"	"January"	"1"	"Pennsylvania"	"42"	"40-44 years"	"40-44"	333
	"2007"	"2007"	"January"	"1"	"Pennsylvania"	"42"	"45-49 years"	"45-49"	17
	"2007"	"2007"	"January"	"1"	"Rhode Island"	"44"	"15-19 years"	"15-19"	105
	"2007"	"2007"	"January"	"1"	"Rhode Island"	"44"	"20-24 years"	"20-24"	235
	"2007"	"2007"	"January"	"1"	"Rhode Island"	"44"	"25-29 years"	"25-29"	271
	"2007"	"2007"	"January"	"1"	"Rhode Island"	"44"	"30-34 years"	"30-34"	216
	"2007"	"2007"	"January"	"1"	"Rhode Island"	"44"	"35-39 years"	"35-39"	145
	"2007"	"2007"	"January"	"1"	"Rhode Island"	"44"	"40-44 years"	"40-44"	34
	"2007"	"2007"	"January"	"1"	"South Carolina"	"45"	"Under 15 years"	"15"	14
	"2007"	"2007"	"January"	"1"	"South Carolina"	"45"	"15-19 years"	"15-19"	723
	"2007"	"2007"	"January"	"1"	"South Carolina"	"45"	"20-24 years"	"20-24"	1615
	"2007"	"2007"	"January"	"1"	"South Carolina"	"45"	"25-29 years"	"25-29"	1467
	"2007"	"2007"	"January"	"1"	"South Carolina"	"45"	"30-34 years"	"30-34"	1011
	"2007"	"2007"	"January"	"1"	"South Carolina"	"45"	"35-39 years"	"35-39"	482
	"2007"	"2007"	"January"	"1"	"South Carolina"	"45"	"40-44 years"	"40-44"	75
	"2007"	"2007"	"January"	"1"	"South Dakota"	"46"	"15-19 years"	"15-19"	95
	"2007"	"2007"	"January"	"1"	"South Dakota"	"46"	"20-24 years"	"20-24"	255
	"2007"	"2007"	"January"	"1"	"South Dakota"	"46"	"25-29 years"	"25-29"	322
	"2007"	"2007"	"January"	"1"	"South Dakota"	"46"	"30-34 years"	"30-34"	201
	"2007"	"2007"	"January"	"1"	"South Dakota"	"46"	"35-39 years"	"35-39"	74
	"2007"	"2007"	"January"	"1"	"South Dakota"	"46"	"40-44 years"	"40-44"	11
	"2007"	"2007"	"January"	"1"	"Tennessee"	"47"	"Under 15 years"	"15"	16
	"2007"	"2007"	"January"	"1"	"Tennessee"	"47"	"15-19 years"	"15-19"	988
	"2007"	"2007"	"January"	"1"	"Tennessee"	"47"	"20-24 years"	"20-24"	2160
	"2007"	"2007"	"January"	"1"	"Tennessee"	"47"	"25-29 years"	"25-29"	1967
	"2007"	"2007"	"January"	"1"	"Tennessee"	"47"	"30-34 years"	"30-34"	1339
	"2007"	"2007"	"January"	"1"	"Tennessee"	"47"	"35-39 years"	"35-39"	593
	"2007"	"2007"	"January"	"1"	"Tennessee"	"47"	"40-44 years"	"40-44"	105
	"2007"	"2007"	"January"	"1"	"Texas"	"48"	"Under 15 years"	"15"	72
	"2007"	"2007"	"January"	"1"	"Texas"	"48"	"15-19 years"	"15-19"	4640
	"2007"	"2007"	"January"	"1"	"Texas"	"48"	"20-24 years"	"20-24"	9456
	"2007"	"2007"	"January"	"1"	"Texas"	"48"	"25-29 years"	"25-29"	9005
	"2007"	"2007"	"January"	"1"	"Texas"	"48"	"30-34 years"	"30-34"	6550
	"2007"	"2007"	"January"	"1"	"Texas"	"48"	"35-39 years"	"35-39"	3162
